watershed,doubling_goal
American River,160000
Antelope Creek,720
Battle Creek,10000
Bear River,450
Big Chico Creek,800
Butte Creek,1500
Calaveras River,165
Clear Creek,7100
Cosumnes River,3300
Cottonwood Creek,5900
Cow Creek,4600
Deer Creek,1500
Feather River,170000
Merced River,18000
Mill Creek,4200
Mokelumne River,9300
Paynes Creek,330
Upper Sacramento River,230000
Stanislaus River,22000
Tuolumne River,38000
Yuba River,66000
Stony Creek,165
Elder Creek,204
Bear Creek,204
Thomes Creek,165
San Joaquin River,165
