order,watershed, fp_area_acres 
23,American River,37.6
2,Antelope Creek,11.8
3,Battle Creek,6.3
4,Bear Creek,3.9
18,Bear River,13.3
5,Big Chico Creek,4.5
6,Butte Creek,13.7
25,Calaveras River,21.9
7,Clear Creek,9.8
26,Cosumnes River,106.1
8,Cottonwood Creek,46.9
9,Cow Creek,20.9
10,Deer Creek,6.3
11,Elder Creek,6.5
19,Feather River,325.1
28,Merced River,43.2
12,Mill Creek,4.2
27,Mokelumne River,47
13,Paynes Creek,1.3
1,Upper Sacramento River,694.9
31,San Joaquin River,931
29,Stanislaus River,133.3
14,Stony Creek,5.9
15,Thomes Creek,11.6
30,Tuolumne River,104.7
20,Yuba River,149.9
